,상가업소번호,상호명,상권업종대분류명,상권업종소분류명,지번주소,도로명주소
11207,MA010120220803992634,무쇠김치삼겹세종,음식,돼지고기 구이/찜,세종특별자치시 세종특별자치시 조치원읍 침산리 269-11,세종특별자치시 세종특별자치시 조치원읍 행복길 7
11208,MA010120220804006561,대평시장건어물,소매,건어물/젓갈 소매업,세종특별자치시 세종특별자치시 금남면 용포리 205-42,세종특별자치시 세종특별자치시 금남면 대평시장1길 17-2
11209,MA010120220804007150,미술아놀작미술교습소,교육,미술학원,세종특별자치시 세종특별자치시 고운동 658-2,세종특별자치시 세종특별자치시 밝은뜰로 3
11210,MA010120220803994673,포토이,과학·기술,사진촬영업,세종특별자치시 세종특별자치시 어진동 503,세종특별자치시 세종특별자치시 절재로 154
11211,MA010120220803992257,8900삼겹비빔밥,음식,백반/한정식,세종특별자치시 세종특별자치시 조치원읍 상리 82-1,세종특별자치시 세종특별자치시 조치원읍 터미널안길 55
11212,MA010120220804200288,정민복집,음식,복 요리 전문,세종특별자치시 세종특별자치시 어진동 547,세종특별자치시 세종특별자치시 절재로 194
11213,MA010120220804204727,우동의진수,음식,일식 면 요리,세종특별자치시 세종특별자치시 나성동 715,세종특별자치시 세종특별자치시 한누리대로 201
11214,MA010120220804198415,테오트리,소매,화장품 소매업,세종특별자치시 세종특별자치시 고운동 1721,세종특별자치시 세종특별자치시 고운서길 7
11215,MA010120220804328614,킹7코인노래연습장,예술·스포츠,노래방,세종특별자치시 세종특별자치시 보람동 747,세종특별자치시 세종특별자치시 호려울로 29
11216,MA010120220804316436,백마호프,음식,요리 주점,세종특별자치시 세종특별자치시 장군면 도계리 156-10,세종특별자치시 세종특별자치시 장군면 장척로 413
11217,MA010120220804326049,노나이불,소매,침구류/커튼 소매업,세종특별자치시 세종특별자치시 도담동 653,세종특별자치시 세종특별자치시 보듬4로 9
11218,MA010120220804321931,행복순대,음식,국/탕/찌개류,세종특별자치시 세종특별자치시 조치원읍 상리 160-3,세종특별자치시 세종특별자치시 조치원읍 장안1길 3
11219,MA010120220804321935,한누리약국,소매,약국,세종특별자치시 세종특별자치시 대평동 693,세종특별자치시 세종특별자치시 한누리대로 2281
11220,MA010120220804326320,해동검도세종본관,교육,태권도/무술학원,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로 62-15
11221,MA010120220804317758,공간유재,소매,예술품 소매업,세종특별자치시 세종특별자치시 금남면 도남리 81-1,세종특별자치시 세종특별자치시 금남면 도남1길 59
11222,MA010120220804335408,견생냥품무인24시세종대평동점,소매,애완동물/애완용품 소매업,세종특별자치시 세종특별자치시 대평동 677,세종특별자치시 세종특별자치시 대평로 75
11223,MA010120220804330962,디엠제트,숙박,펜션,세종특별자치시 세종특별자치시 금남면 성강리 264-1,세종특별자치시 세종특별자치시 금남면 성강길 201-26
11224,MA010120220804263144,참신공인중개사사무소,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 고운동 1381,세종특별자치시 세종특별자치시 마음로 272-14
11225,MA010120220804258262,함박골,음식,백반/한정식,세종특별자치시 세종특별자치시 전의면 유천리 495-2,세종특별자치시 세종특별자치시 전의면 운주산로 1410-12
11226,MA010120220804295329,간성동해반점,음식,중국집,세종특별자치시 세종특별자치시 어진동 503,세종특별자치시 세종특별자치시 절재로 154
11227,MA010120220804289127,이디야커피세종시고운동점,음식,카페,세종특별자치시 세종특별자치시 고운동 1729,세종특별자치시 세종특별자치시 마음로 67
11228,MA010120220804308048,투데이기획,과학·기술,명함/간판/광고물 제작,세종특별자치시 세종특별자치시 반곡동 308,세종특별자치시 세종특별자치시 국책연구원2로 18
11229,MA010120220804308158,더스테이,음식,피자,세종특별자치시 세종특별자치시 반곡동 771-68,세종특별자치시 세종특별자치시 한누리대로 1948
11230,MA010120220804287185,크린토피아세종지사,수리·개인,세탁소,세종특별자치시 세종특별자치시 조치원읍 남리 259,세종특별자치시 세종특별자치시 조치원읍 새내4길 91
11231,MA010120220804287192,복사골배드민턴센터,예술·스포츠,테니스장,세종특별자치시 세종특별자치시 조치원읍 침산리 280-2,세종특별자치시 세종특별자치시 조치원읍 문화6길 1
11232,MA010120220804287468,뷰티엔스킨,수리·개인,피부 관리실,세종특별자치시 세종특별자치시 고운동 1718,세종특별자치시 세종특별자치시 마음로 78
11233,MA010120220804285301,작업실701,교육,그 외 기타 교육기관,세종특별자치시 세종특별자치시 나성동 758,세종특별자치시 세종특별자치시 한누리대로 312
11234,MA010120220804282130,퓨어팜[Purefarm],소매,슈퍼마켓,세종특별자치시 세종특별자치시 조치원읍 죽림리 228-8,세종특별자치시 세종특별자치시 조치원읍 죽림본로 6
11235,MA010120220804278501,고운종합건축사사무소,과학·기술,건축 설계 및 관련 서비스업,세종특별자치시 세종특별자치시 보람동 721,세종특별자치시 세종특별자치시 한누리대로 2144
11236,MA010120220804239933,세종종합쇼핑,소매,문구/회화용품 소매업,세종특별자치시 세종특별자치시 어진동 634,세종특별자치시 세종특별자치시 갈매로 408
11237,MA010120220804230267,세종아카데미아학원,교육,입시·교과학원,세종특별자치시 세종특별자치시 보람동 760,세종특별자치시 세종특별자치시 남세종로 450
11238,MA010120220804236832,세종정석공인중개사사무소,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 나성동 809,세종특별자치시 세종특별자치시 나성북로 30
11239,MA010120220804232105,유상물산,소매,기타 의류 소매업,세종특별자치시 세종특별자치시 나성동 815,세종특별자치시 세종특별자치시 국세청로 32
11240,MA010120220804224979,이안이앤디,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 전동면 노장리 339,세종특별자치시 세종특별자치시 전동면 중노장길 106-24
11241,MA010120220804238417,에스피디자인그룹,과학·기술,광고 대행업,세종특별자치시 세종특별자치시 도담동 660,세종특별자치시 세종특별자치시 보듬3로 8-20
